Number of Records,average_Medicare_allowed_amt,average_Medicare_payment_amt,average_submitted_chrg_amt,bene_day_srvc_cnt,bene_unique_cnt,hcpcs_code,hcpcs_description,line_srvc_cnt,medicare_participation_indicator,npi,nppes_credentials,nppes_entity_code,nppes_provider_city,nppes_provider_country,nppes_provider_first_name,nppes_provider_gender,nppes_provider_last_org_name,nppes_provider_mi,nppes_provider_state,nppes_provider_street1,nppes_provider_street2,nppes_provider_zip,place_of_service,provider_type,stdev_Medicare_allowed_amt,stdev_Medicare_payment_amt,stdev_submitted_chrg_amt
1,10.5,7.365,25.0,16.0,11.0,97035.0,Ultrasound therapy,16.0,N,1144593146,,O,ATHENS,US,,,"ANTHONY OFFICES OF CHIROPRACTIC, PC",,GA,335 HAWTHORNE LN,,306062153.0,O,Multispecialty Clinic/Group Practice,0.3122498999,2.794525899,0.0
1,47.52,34.563636364,117.72727273,11.0,11.0,72050.0,X-ray exam of neck spine,11.0,N,1558633388,,O,NEWNAN,US,,,PZA INC. DBA ACKERSON CHIROPRACTIC CENTER,,GA,2594 HIGHWAY 34 E,SUITE A,302651328.0,O,Multispecialty Clinic/Group Practice,0.0,10.929981513,16.836599252
1,31.71,25.37,35.0,60.0,21.0,98941.0,Chiropractic manipulation,60.0,N,1831449552,,O,ADEL,US,,,ADEL CHIROPRACTIC INC,,IA,203 NILE KINNICK DR S,,500031728.0,O,Multispecialty Clinic/Group Practice,0.0,0.0,0.0
1,31.93,23.80745283,35.0,106.0,25.0,98941.0,Chiropractic manipulation,106.0,N,1134315914,,O,CALDWELL,US,,,BENNETT CHIROPRACTIC CTR PA,,ID,923 GRANT ST,,83605.0,O,Chiropractic,0.0,6.2908146668,0.0
1,30.983125,24.79,31.84875,16.0,12.0,99212.0,Office/outpatient visit est,16.0,N,1689925539,,O,SLIDELL,US,,,NORTHLAKE ORAL AND FACIAL SURGERY LLC,,LA,1271 7TH ST,,704582041.0,O,Multispecialty Clinic/Group Practice,1.6000262449,1.2780845042,4.952577454
1,53.129230769,42.503076923,54.066153846,13.0,13.0,99202.0,Office/outpatient visit new,13.0,N,1689925539,,O,SLIDELL,US,,,NORTHLAKE ORAL AND FACIAL SURGERY LLC,,LA,1271 7TH ST,,704582041.0,O,Multispecialty Clinic/Group Practice,3.1002641613,2.4804198919,6.3356859121
1,67.618095238,54.098095238,69.047619048,21.0,18.0,99213.0,Office/outpatient visit est,21.0,N,1710123799,,O,EMMITSBURG,US,,,CHRISTINE A. CURLEY M.D. P.C.,,MD,302 W MAIN ST,SUITE A,217279192.0,O,General Practice,2.4716364717,1.9784833514,2.9354352395
1,90.0,65.065,90.0,12.0,11.0,99214.0,Office/outpatient visit est,12.0,N,1710123799,,O,EMMITSBURG,US,,,CHRISTINE A. CURLEY M.D. P.C.,,MD,302 W MAIN ST,SUITE A,217279192.0,O,General Practice,0.0,19.859417791,0.0
1,20.83,16.66,33.507692308,26.0,25.0,93000.0,Electrocardiogram complete,26.0,N,1164735163,,O,BETHESDA,US,,,"GARY M ROGGIN, MD, PA",,MD,10215 FERNWOOD RD,STE 401,208171106.0,O,Multispecialty Clinic/Group Practice,0.0,0.0,29.298305583
1,20.83,12.772666667,24.5,30.0,30.0,93000.0,Electrocardiogram complete,30.0,N,1871787077,,O,BETHESDA,US,,,BETHESDA PHYSICIANS PC,,MD,8120 WOODMONT AVE,SUITE 320,208142743.0,O,Multispecialty Clinic/Group Practice,0.0,7.0463900608,0.55
