Number of Records,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,city,homes_sold,homes_sold_mom,homes_sold_yoy,inventory,inventory_mom,inventory_yoy,median_dom,median_dom_mom,median_dom_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_sale_price,median_sale_price_mom,median_sale_price_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,new_listings,new_listings_mom,new_listings_yoy,period_begin,period_duration,period_end,price_drops,price_drops_mom,price_drops_yoy,property_type,region,region_type,sold_above_list,sold_above_list_mom,sold_above_list_yoy,state,state_code,table_id
1,0.971114701933294,,,,178,,,,,,,,,77.4224410654148,,,144450.0,,,83.3519900497512,,,154500.0,,,1.1,,,212.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Madera County, CA",county,0.0625,,,California,CA,322
1,0.960876038484092,,,,115,,,,,,,,,432.851817334576,,,799999.0,,,348.986486486487,,,590000.0,,,2.6,,,309.0,,,2009-01-01,30,2009-01-31,0.186046511627907,,,All Residential,"Marin County, CA",county,0.260869565217391,,,California,CA,323
1,0.967918186682577,,,,535,,,,,,,,,66.2660588479072,,,112000.0,,,72.3039215686274,,,115000.0,,,0.4,,,270.0,,,2009-01-01,30,2009-01-31,,,,All Residential,"Merced County, CA",county,0.405579399141631,,,California,CA,326
1,0.906948422286998,,,,126,,,,,,,,,151.125112511251,,,238250.0,,,131.782945736434,,,197000.0,,,4.1,,,568.0,,,2009-01-01,30,2009-01-31,0.467181467181467,,,All Residential,"Monterey County, CA",county,0.246031746031746,,,California,CA,329
1,0.960353177442482,,,,66,,,,,,,,,236.279547790339,,,382450.0,,,240.838052400554,,,392000.0,,,2.2,,,156.0,,,2009-01-01,30,2009-01-31,0.513888888888889,,,All Residential,"Napa County, CA",county,0.242424242424242,,,California,CA,330
1,0.977286594365757,,,,1729,,,,,,,,,272.423419799897,,,446500.0,,,251.952331627265,,,360000.0,,,1.8,,,3429.0,,,2009-01-01,30,2009-01-31,0.225105416801816,,,All Residential,"Orange County, CA",county,0.326577880718008,,,California,CA,332
1,0.982294550312639,,,,304,,,,,,,,,421.028675466545,,,615000.0,,,147.642515103214,,,280000.0,,,0.2,,,,,,2009-01-01,30,2009-01-31,,,,All Residential,"Placer County, CA",county,0.407894736842105,,,California,CA,333
1,0.987469415695167,,,,1868,,,,,,,,,109.091148022503,,,197450.0,,,105.450438603277,,,159500.0,,,0.0,,,,,,2009-01-01,30,2009-01-31,,,,All Residential,"Sacramento County, CA",county,0.440860215053763,,,California,CA,336
1,0.922622657918185,,,,26,,,,,,,,,155.072463768116,,,257450.0,,,142.875275128393,,,256000.0,,,2.7,,,78.0,,,2009-01-01,30,2009-01-31,0.366197183098592,,,All Residential,"San Benito County, CA",county,0.192307692307692,,,California,CA,337
1,0.98006361008032,,,,2393,,,,,,,,,207.581005179207,,,334900.0,,,183.970106558438,,,279000.0,,,1.4,,,4002.0,,,2009-01-01,30,2009-01-31,0.307244690136747,,,All Residential,"San Diego County, CA",county,0.370664437944003,,,California,CA,339
