Address Type,Agency Name,Agency,Borough,Bridge Highway Direction,Bridge Highway Name,Bridge Highway Segment,City,Closed Date,Community Board,Complaint Type,Created Date,Cross Street 1,Cross Street 2,Descriptor,Due Date,Facility Type,Ferry Direction,Ferry Terminal Name,Garage Lot Name,Incident Address,Incident Zip,Intersection Street 1,Intersection Street 2,Landmark,Latitude,Location Type,Location,Longitude,Number of Records,Park Borough,Park Facility Name,Resolution Action Updated Date,Resolution Description,Road Ramp,School Address,School City,School Code,School Name,School Not Found,School Number,School Phone Number,School Region,School State,School Zip,School or Citywide Complaint,Status,Street Name,Taxi Company Borough,Taxi Pick Up Location,Unique Key,Vehicle Type,X Coordinate (State Plane),Y Coordinate (State Plane)
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,05 BRONX,Damaged Tree,2010-08-14 01:35:54.000000,,,Entire Tree Has Fallen Down,2010-08-22 08:30:24.000000,,,,,,10453,,,,,Park,,,1,BRONX,Morris Garden,2010-08-17 00:00:00.000000,,,Morris Avenue and East 181st Street,BRONX,,Morris Garden,,X292,7184301800,,NY,10453,,Assigned,,,,18475017,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,05 BRONX,Dead Tree,2014-06-29 20:49:45.000000,,,Dead/Dying Tree,2014-07-07 09:42:52.000000,,,,,,10453,,,,,Park,,,1,BRONX,Morris Garden,2014-06-30 09:43:28.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,Morris Avenue and East 181st Street,BRONX,,Morris Garden,,X292,7184301800,,NY,10453,,Assigned,,,,28368918,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,05 BRONX,Illegal Tree Damage,2013-10-22 14:40:33.000000,,,Unauthorized Tree Removal,2013-10-30 15:03:03.000000,,,,,,10453,,,,,Park,,,1,BRONX,Mount Hope Playground,2013-10-22 15:03:03.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,East 177th Street and Walton Avenue,BRONX,,Mount Hope Playground,,X257,7184301800,,NY,10453,,Assigned,,,,26534450,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,05 BRONX,Damaged Tree,2014-08-25 21:49:13.000000,,,Entire Tree Has Fallen Down,2015-03-30 16:37:03.000000,,,,,,10468,,,,,Park,,,1,BRONX,University Woods,2015-03-25 16:37:18.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,"Sedgwick to Cedar Avenues, North of West 180th Street",BRONX,,University Woods,,X051,7184301800,,NY,10468,,Assigned,,,,28755618,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,06 BRONX,Dead Tree,2012-03-21 18:31:02.000000,,,Dead/Dying Tree,2012-03-29 07:58:01.000000,,,,,,10457,,,,,Park,,,1,BRONX,Quarry Ballfields,2012-03-22 07:58:01.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,"Quarry Road, East 181st Street, Oak Place and Hughes Avenue",BRONX,,Quarry Ballfields,,X263,7184301800,,NY,10457,,Assigned,,,,22924837,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,06 BRONX,Dead Tree,2012-08-16 17:25:06.000000,,,Dead/Dying Tree,2012-09-08 17:51:51.000000,,,,,,10460,,,,,Park,,,1,BRONX,Bronx River Park,2012-08-16 17:52:01.000000,The condition has been inspected and a work order was created.,,East 179th Street at Bronx River,BRONX,,Bronx River Park,,X288,7184301800,,NY,10460,,Assigned,,,,23817656,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,07 BRONX,Damaged Tree,2012-03-01 14:21:19.000000,,,Branch Cracked and Will Fall,2012-03-10 07:30:00.000000,,,,,,10458,,,,,Park,,,1,BRONX,Knox-Gates Playground,2012-03-02 07:30:29.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,"Moshulu Parkway North, Knox Place, Gates Avenue",BRONX,,Knox-Gates Playground,,X033-04,7184301800,,NY,10458,,Assigned,,,,22801701,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,07 BRONX,Damaged Tree,2010-09-29 09:54:50.000000,,,Branch Cracked and Will Fall,2010-10-08 08:07:15.000000,,,,,,10458,,,,,Park,,,1,BRONX,Poe Park,2010-09-30 00:00:00.000000,The Department of Parks and Recreation has reviewed this request and will visit the location to investigate the condition.,,"Grand Concourse, East Kingsbridge Road, East 192nd Street",BRONX,,Poe Park,,X040,7184301800,,NY,10458,,Assigned,,,,18790403,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,07 BRONX,Dead Tree,2010-09-01 15:58:32.000000,,,Dead/Dying Tree,2010-09-09 09:55:17.000000,,,,,,10458,,,,,Park,,,1,BRONX,Poe Park,2010-09-02 00:00:00.000000,,,"Grand Concourse, East Kingsbridge Road, East 192nd Street",BRONX,,Poe Park,,X040,7184301800,,NY,10458,,Assigned,,,,18601150,,,
,Department of Parks and Recreation,DPR,BRONX,,,,BRONX,,07 BRONX,Damaged Tree,2010-09-23 18:23:44.000000,,,Entire Tree Has Fallen Down,2010-09-28 18:25:44.000000,,,,,,10467,,,,,Park,,,1,BRONX,Williamsbridge Oval,2010-09-23 00:00:00.000000,,,"Van Cortlandt Avenue East, Bainbridge Avenue, Reservoir Oval",BRONX,,Williamsbridge Oval,,X104,7184301800,,NY,10467,,Assigned,,,,18750741,,,
